name,PV
Josh Archibald,1
Viktor Arvidsson,2
Andreas Athanasiou,1
Mikael Backlund,1
Ivan Barbashev,1
Jamie Benn,2
Sam Bennett,1
Samuel Blais,1
Brock Boeser,3
Nick Bonino,1
Tyler Bozak,1
Andre Burakovsky,2
Drake Caggiula,1
Matt Calvert,1
Ryan Carpenter,1
William Carrier,1
Alex Chiasson,1
Andrew Cogliano,1
Blake Comeau,1
J Compher,1
Kyle Connor,3
Andrew Copp,1
Nick Cousins,1
Lawson Crouse,1
Kirby Dach,1
La De,1
Alex Debrincat,2
Jason Dickinson,1
Ryan Donato,1
Joonas Donskoi,2
Leon Draisaitl,4
Dillon Dube,1
Matt Duchene,2
Christian Dvorak,1
Cody Eakin,1
Nikolaj Ehlers,2
Tyler Ennis,1
Loui Eriksson,1
Ek Eriksson,1
Radek Faksa,1
Micheal Ferland,1
Kevin Fiala,2
Christian Fischer,1
Marcus Foligno,1
Filip Forsberg,2
Alex Galchenyuk,1
Conor Garland,1
Adam Gaudette,1
Johnny Gaudreau,3
Michael Grabner,1
Mikael Granlund,1
Jordan Greenway,1
Rocco Grimaldi,1
Denis Gurianov,1
Taylor Hall,2
Ryan Hartman,1
Barrett Hayton,1
Vincent Hinostroza,1
Roope Hintz,1
Bo Horvat,2
Mattias Janmark,1
Calle Jarnkrok,1
Ryan Johansen,2
Tyson Jost,1
Nazem Kadri,2
David Kampf,1
Patrick Kane,4
William Karlsson,2
Zack Kassian,2
Clayton Keller,2
Phil Kessel,2
Jujhar Khaira,1
Mikko Koivu,1
Dominik Kubalik,1
Luke Kunin,1
Jordan Kyrou,1
Patrik Laine,3
Gabriel Landeskog,2
Elias Lindholm,2
Adam Lowry,1
Milan Lucic,1
Kinnon Mac,4
Andrew Mangiapane,1
Jonathan Marchessault,2
David Mc,4
J Miller,3
Sean Monahan,2
Vladislav Namestnikov,1
James Neal,1
Valeri Nichushkin,1
Matt Nieto,1
Tomas Nosek,1
Hopkins Nugent,2
Alexander Nylander,1
Reilly O,3
Max Pacioretty,3
Zach Parise,2
Joe Pavelski,1
Tanner Pearson,2
Mathieu Perreault,1
David Perron,3
Corey Perry,1
Elias Pettersson,3
Alexander Radulov,2
Mikko Rantanen,3
Victor Rask,1
Ryan Reaves,1
Brad Richardson,1
Jack Roslovic,1
Antoine Roussel,1
Nicolas Roy,1
Derek Ryan,1
Brandon Saad,1
Zachary Sanford,1
Mark Scheifele,3
Brayden Schenn,2
Nick Schmaltz,2
Jaden Schwartz,2
Tyler Seguin,2
Dylan Sikura,1
Colton Sissons,1
Craig Smith,1
Reilly Smith,2
Zack Smith,1
Carl Soderberg,1
Eric Staal,2
Paul Stastny,1
Alexander Steen,1
Derek Stepan,1
Chandler Stephenson,1
Mark Stone,3
Dylan Strome,2
Oskar Sundqvist,1
Brandon Sutter,1
Vladimir Tarasenko,3
Robert Thomas,1
Matthew Tkachuk,3
Jonathan Toews,2
Tyler Toffoli,2
Yakov Trenin,1
Alex Tuch,1
Kyle Turris,1
Jake Virtanen,1
Austin Watson,1
Blake Wheeler,3
Kailer Yamamoto,2
Mats Zuccarello,2
Noel Acciari,1
Sebastian Aho,3
Josh Anderson,1
Joel Armia,1
Reese Aston,1
Cam Atkinson,2
Nicklas Backstrom,3
Josh Bailey,1
Aleksander Barkov,3
Mathew Barzal,2
Anthony Beauvillier,1
Patrice Bergeron,3
Anders Bjork,1
Oliver Bjorkstrand,2
Theodor Blueger,1
Travis Boyd,1
Brian Boyle,1
Derick Brassard,1
Pavel Buchnevich,1
Paul Byron,1
Filip Chytil,1
Anthony Cirelli,2
Casey Cizikas,1
Kyle Clifford,1
Cal Clutterbuck,1
Blake Coleman,1
Brett Connolly,1
Sean Couturier,2
Charlie Coyle,1
Sidney Crosby,4
Evgenii Dadonov,2
Phillip Danault,2
Brusk De,1
Max Domi,2
Nic Dowd,1
Jonathan Drouin,2
Pierre Dubois,2
Ryan Dzingel,1
Jordan Eberle,1
Lars Eller,1
Pierre Engvall,1
Jesper Fast,1
Warren Foegele,1
Nick Foligno,1
Morgan Frost,1
Brendan Gallagher,2
Frederik Gauthier,1
Nathan Gerbe,1
Claude Giroux,2
Barclay Goodrow,1
Yanni Gourde,1
Derek Grant,1
Jake Guentzel,3
Carl Hagelin,1
Garnet Hathaway,1
Erik Haula,2
Kevin Hayes,1
Mike Hoffman,2
Patric Hornqvist,2
Brett Howden,1
Jonathan Huberdeau,4
Zach Hyman,2
Boone Jenner,1
Tyler Johnson,1
Andreas Johnsson,1
Kaapo Kakko,1
Kasperi Kapanen,2
Ondrej Kase,1
Alexander Kerfoot,1
Alex Killorn,2
Leo Komarov,1
Travis Konecny,2
Jesperi Kotkaniemi,1
Ilya Kovalchuk,2
Chris Kreider,2
David Krejci,2
Nikita Kucherov,4
Sean Kuraly,1
Evgeny Kuznetsov,3
Sam Lafferty,1
Scott Laughton,1
Anders Lee,2
Artturi Lehkonen,1
Brendan Lemieux,1
Denis Malgin,1
Evgeni Malkin,4
Brad Marchand,4
Patrick Marleau,1
Mitchell Marner,4
Patrick Maroon,1
Jordan Martinook,1
Auston Matthews,4
Cann Mc,1
Ginn Mc,1
Ilya Mikheyev,1
Philippe Myers,1
Riley Nash,1
Martin Necas,1
Brock Nelson,2
Nino Niederreiter,1
William Nylander,3
Gustav Nyquist,2
T Oshie,2
Alex Ovechkin,3
Jean Pageau,2
Ondrej Palat,1
Artemi Panarin,4
Richard Panik,1
Cedric Paquette,1
David Pastrnak,4
Tyler Pitlick,1
Brayden Point,3
Michael Raffl,1
Nick Ritchie,1
Eric Robinson,1
Evan Rodrigues,1
Bryan Rust,3
Colton Sceviour,1
Conor Sheary,1
Jason Spezza,1
Daniel Sprong,1
Jordan Staal,1
Steven Stamkos,3
Ryan Strome,2
Nicholas Suzuki,1
Andrei Svechnikov,3
Brandon Tanev,1
Tomas Tatar,2
John Tavares,3
Teuvo Teravainen,3
Alexandre Texier,1
Nate Thompson,1
Vincent Trocheck,2
Riemsdyk Van,1
Frank Vatrano,1
Carter Verhaeghe,1
Jakub Voracek,2
Jakub Vrana,2
Chris Wagner,1
Lucas Wallmark,1
Jordan Weal,1
Alexander Wennberg,1
Justin Williams,1
Tom Wilson,2
Mika Zibanejad,3
Jason Zucker,2
Rasmus Andersson,1
Ethan Bear,1
Jordie Benn,1
Adam Boqvist,1
T Brodie,1
Jonas Brodin,1
Jakob Chychrun,1
Ian Cole,1
Melo De,1
Jason Demers,1
Matt Dumba,1
Vince Dunn,1
Alexander Edler,2
Mattias Ekholm,2
Larsson Ekman,1
Ryan Ellis,2
Deryk Engelland,1
Dante Fabbro,1
Justin Faulk,1
Taylor Fedun,1
Derek Forbort,1
Mark Giordano,2
Samuel Girard,1
Alex Goligoski,1
Ryan Graves,1
Carl Gunnarsson,1
Erik Gustafsson,1
Nicolas Hague,1
Noah Hanifin,1
Miro Heiskanen,1
Niklas Hjalmarsson,1
Nick Holden,1
Quinn Hughes,2
Brad Hunt,1
Erik Johnson,1
Roman Josi,3
Duncan Keith,1
Oscar Klefbom,2
John Klingberg,1
Dmitry Kulikov,1
Adam Larsson,1
Esa Lindell,1
Olli Maatta,1
Cale Makar,2
Alec Martinez,1
Nabb Mc,1
Jon Merrill,1
Josh Morrissey,2
Connor Murphy,1
Tyler Myers,1
Sami Niku,1
Darnell Nurse,1
Jordan Oesterle,1
Jamie Oleksiak,1
Colton Parayko,1
Alex Pietrangelo,2
Neal Pionk,2
Tucker Poolman,1
Kris Russell,1
Luca Sbisa,1
Marco Scandella,1
Nate Schmidt,1
Andrej Sekera,1
Carson Soucy,1
Jared Spurgeon,1
Troy Stecher,1
Ryan Suter,2
Christopher Tanev,1
Shea Theodore,2
Nikita Zadorov,1
Tyson Barrie,2
Zach Bogosian,1
Johnny Boychuk,1
Justin Braun,1
Brandon Carlo,1
John Carlson,3
Cody Ceci,1
Erik Cernak,1
Zdeno Chara,1
Ben Chiarot,1
Anthony Deangelo,2
Travis Dermott,1
Brenden Dillon,1
Brian Dumoulin,1
Joel Edmundson,1
Aaron Ekblad,2
Haydn Fleury,1
Adam Fox,1
Jake Gardiner,1
Vladislav Gavrikov,1
Shayne Gostisbehere,1
Andy Greene,1
Matt Grzelcyk,1
Radko Gudas,1
Dougie Hamilton,2
Victor Hedman,3
Justin Holl,1
Nick Jensen,1
Jack Johnson,1
Seth Jones,1
Michal Kempny,1
Torey Krug,2
Nick Leddy,1
Kris Letang,2
Ryan Lindgren,1
John Marino,1
Michael Matheson,1
Scott Mayfield,1
Avoy Mc,1
Donagh Mc,1
Victor Mete,1
Ryan Murray,1
Jake Muzzin,1
Matt Niskanen,1
Markus Nutivaara,1
Dmitry Orlov,1
Adam Pelech,1
Jeff Petry,2
Marcus Pettersson,1
Ivan Provorov,1
Ryan Pulock,1
Morgan Rielly,2
Juuso Riikola,1
Calle Rosen,1
Chad Ruhwedel,1
Rasmus Sandin,1
Travis Sanheim,1
David Savard,1
Justin Schultz,1
Mikhail Sergachev,1
Kevin Shattenkirk,2
Jonas Siegenthaler,1
Brady Skjei,1
Jaccob Slavin,1
Brendan Smith,1
Marc Staal,1
Riley Stillman,1
Anton Stralman,1
Devon Toews,1
Jacob Trouba,1
Sami Vatanen,1
Shea Weber,2
Mac Weegar,1
Zach Werenski,2
Keith Yandle,2
Jake Allen,3
Richard Bachman,2
Antoine Bibeau,2
Jordan Binnington,4
Ben Bishop,3
Landon Bow,2
Laurent Brossoit,3
Eric Comrie,2
Corey Crawford,3
Collin Delia,2
Thatcher Demko,2
Louis Domingue,2
Devan Dubnyk,3
Marc Fleury,4
Pavel Francouz,3
Jon Gillies,2
Philipp Grubauer,3
Connor Hellebuyck,3
Adin Hill,2
Ville Husso,2
Michael Hutchinson,2
Kaapo Kahkonen,2
Anton Khudobin,3
Mikko Koskinen,3
Darcy Kuemper,3
Robin Lehner,3
Jacob Markstrom,3
Antti Raanta,2
Pekka Rinne,3
David Rittich,3
Juuse Saros,3
Mike Smith,3
Garret Sparks,2
Alex Stalock,2
Malcolm Subban,3
Cam Talbot,3
Adam Werner,2
Frederik Andersen,4
Sergei Bobrovsky,3
Jack Campbell,2
Mike Condon,2
Pheonix Copley,2
Casey Desmith,2
Chris Driedger,2
Brian Elliott,3
Alexandar Georgiev,2
Christopher Gibson,2
Thomas Greiss,3
Jaroslav Halak,3
Carter Hart,3
Braden Holtby,3
Tristan Jarry,3
Kasimir Kaskisuo,2
Keith Kinkaid,2
Matiss Kivlenieks,2
Joonas Korpisalo,3
Max Lagace,2
Charlie Lindgren,2
Henrik Lundqvist,3
Alex Lyon,2
Elhinney Mc,3
Elvis Merzlikins,3
Samuel Montembault,2
Petr Mrazek,3
Matt Murray,3
Alex Nedeljkovic,2
Carey Price,3
Tuukka Rask,4
James Reimer,3
Ilya Samsonov,3
Igor Shesterkin,2
Semyon Varlamov,3
Andrei Vasilevskiy,4
